읍면동코드,시도,객체시군구코드,시군구,읍면동명,중심점_longitude,중심점_latitude,순위,시설명,시설_시도,시설_시군구,시설_longitude,시설_latitude,직선거리_km
11110168,서울특별시,11110,종로구,동숭동,127.00488262,37.58141394,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.83
11110168,서울특별시,11110,종로구,동숭동,127.00488262,37.58141394,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,16.66
11110168,서울특별시,11110,종로구,동숭동,127.00488262,37.58141394,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,23.20
11110184,서울특별시,11110,종로구,부암동,126.96558756,37.59475947,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,13.45
11110184,서울특별시,11110,종로구,부암동,126.96558756,37.59475947,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,18.36
11110184,서울특별시,11110,종로구,부암동,126.96558756,37.59475947,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,24.37
11110140,서울특별시,11110,종로구,삼청동,126.98101616,37.59076598,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,14.56
11110140,서울특별시,11110,종로구,삼청동,126.98101616,37.59076598,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,17.45
11110140,서울특별시,11110,종로구,삼청동,126.98101616,37.59076598,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,25.37
11110101,서울특별시,11110,종로구,청운동,126.96932511,37.58920590,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,14.15
11110101,서울특별시,11110,종로구,청운동,126.96932511,37.58920590,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,17.67
11110101,서울특별시,11110,종로구,청운동,126.96932511,37.58920590,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,24.37
11110125,서울특별시,11110,종로구,중학동,126.97970401,37.57532080,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.89
11110125,서울특별시,11110,종로구,중학동,126.97970401,37.57532080,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.94
11110125,서울특별시,11110,종로구,중학동,126.97970401,37.57532080,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,24.22
11110170,서울특별시,11110,종로구,명륜1가,126.99748241,37.58911010,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.58
11110170,서울특별시,11110,종로구,명륜1가,126.99748241,37.58911010,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.83
11110170,서울특별시,11110,종로구,명륜1가,126.99748241,37.58911010,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,24.28
11110118,서울특별시,11110,종로구,내수동,126.97195560,37.57332051,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.79
11110118,서울특별시,11110,종로구,내수동,126.97195560,37.57332051,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,15.96
11110118,서울특별시,11110,종로구,내수동,126.97195560,37.57332051,3,인천가족공원 화장시설,인천광역시,인천광역시,126.72337704,37.48921859,23.83
11140128,서울특별시,11140,중구,남산동1가,126.98464002,37.55935964,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,14.08
11140128,서울특별시,11140,중구,남산동1가,126.98464002,37.55935964,2,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,17.69
11140128,서울특별시,11140,중구,남산동1가,126.98464002,37.55935964,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,22.68
11110173,서울특별시,11110,종로구,명륜3가,126.99314897,37.58822346,1,서울시립승화원,서울특별시,서울특별시,126.88595352,37.69794445,15.43
11110173,서울특별시,11110,종로구,명륜3가,126.99314897,37.58822346,2,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,16.84
11110173,서울특별시,11110,종로구,명륜3가,126.99314897,37.58822346,3,성남시장례문화사업소,경기도,성남시,127.17523286,37.42243387,24.45
11140126,서울특별시,11140,중구,명동1가,126.98466054,37.56430113,1,서울추모공원,서울특별시,서울특별시,127.04862919,37.44332103,14.59
